Name,start_date,end_date,range_date,location,info,status,description,Lat,Long
Alexander Clark,1826,1839,1826-1839,"Washington, PA","Born (1826) in Washington, PA to a free mother and formerly enslaved father",,,40.175,-80.250556
Alexander Clark,1840,1841,1840- ~1841,"Cincinnati, OH","Migrates (1840) to Cincinnati, OH, to apprentice under uncle, a barber, and attend school",,,39.1,-84.516667
Alexander Clark,1841,1842,~1841-1842,Mississippi River,Works on river steamboat (~1841-1842),,,38.626849,-90.179304
Alexander Clark,1842,1884,1842-1884,"Muscatine, IA","Settles in Muscatine (1842), works as a barber and entreneur",,,41.423889,-91.056111
Alexander Clark,1884,1890,~1884-1890,Chicago,Purchases Conservator and moves to Chicago to edit the paper (~1884-1890),,,41.881944,-87.627778
Alexander Clark,1890,1891,1890-1891,"Monrovia, Liberia",Moves to Liberia as U.S. Minister (1890); dies 1891; body returned to Muscatine for burial.,,,6.313333,-10.801389
Catherine Griffin Clark,1822,1825,1822-1825,"Middlebourne, Tyler County, VA (now WVA)","Born (1822) enslaved in Tyler Co., VA; inherited by owner's daughter (Rachel Cheadle, nee Ankrom) and at age 3 taken by her to OH (1825)",s,"on land now know as the Old County Infirmary Farm, Owned by Ankroms, willed to owner's daughter Rachel https://www.mapofus.org/wp-content/uploads/2013/09/WV-county.jpg",39.494178,-80.907644
Catherine Griffin Clark,1825,1842,1825-1842,"Windsor, Morgan Co., OH",Remains in Cheadle household (1825-1842),s,"Rachel Cheadle, nee Ankrom, and Patrick Cheadle's household",39.5672946,-81.7790227
Catherine Griffin Clark,1842,1843,1842-1843,"Marion, Linn Co., IA","Migrates with Cheadles to Marion, IA (1842-1843)",s,Cheadle household,42.0333325,-91.5973995
Catherine Griffin Clark,1843,1848,1843-1848,"Iowa City, Iowa","Moves to Iowa City (1843) where she works for family of E. C. Lyon; meets and marries Alexander Clark (1848); moves to Muscatine, IA",s,"Works for E. C. Lyon, Esq.",41.661129,-91.530167
Catherine Griffin Clark,1848,1851,1848-1851,"Muscatine, Muscatine Co., Iowa",Precarious freedom until Cheadles sign manumission papers in 1851,s,Marries Alexander Clark and moves to his home,41.420129,-91.06984
Catherine Griffin Clark,1851,1879,1851-1879,"Muscatine, Muscatine Co., Iowa",Resides in Muscatine with her family until her death (1879),m/f,,41.42013,-91.0698
Rebecca Darnes Clark Howard,1810,1863,1810-1863,"Washington, Pennsylvania","Born (1810)in PA to free parents; resides in Washington, PA where she marries and has five children; husband dies there 1851",f,"Born free to formerly enslaved parents; marries John Clark, who dies in 1851; 1863 moves to her son, Alexander Clark's home community in Muscatine",40.17396,-80.24617
