Name,s_city,e_city,free,s_lon,s_lat,e_lon,e_lat,year,s_city_id,e_city_id,migration
Alexander Clark,"Washington, PA","Cincinnati, OH",yes,-80.250556,40.175,-84.516667,39.1,1840,1,49,"Migrates in 1840 to Cincinnati, OH, to apprentice under uncle, a barber, and attend school."
Alexander Clark,"Cincinnati, OH",Mississippi River,yes,-84.516667,39.1,-90.179304,38.626849,1841,2,48,Works on a river steamboat on the Mississippi River between 1841-42.
Alexander Clark,Mississippi River,"Muscatine, IA",yes,-90.179304,38.626849,-91.056111,41.423889,1842,3,47,Moves to Muscatine to become a barber and entrepreneur.
Alexander Clark,"Muscatine, IA",Chicago,yes,-91.056111,41.423889,-87.627778,41.881944,1884,4,46,Purchases the Chicago Conservator and moves to Chicago to edit the paper between 1884-1890.
Alexander Clark,Chicago,"Monrovia, Liberia",yes,-87.627778,41.881944,-10.801389,6.313333,1890,5,45,Moves to Liberia to serve as the U.S. Minister in 1890 before dying a year later in 1891. Clark's body was returned to Muscatine for burial.
Catherine Griffin Clark,"Middlebourne, Tyler County, VA (now WVA)","Windsor, Morgan Co., OH",no,-80.907644,39.494178,-81.7790227,39.5672946,1825,6,44,"At three years old, Clark is brought by Rachel Cheadle to Ohio in 1825. Remained enslaved by the Cheadles in Ohio."
Catherine Griffin Clark,"Windsor, Morgan Co., OH","Marion, Linn Co., IA",no,-81.7790227,39.5672946,-91.5973995,42.0333325,1842,7,43,"Migrates with the Cheadle household to Marion, Iowa in 1842. "
Catherine Griffin Clark,"Marion, Linn Co., IA","Iowa City, Iowa",no,-91.5973995,42.0333325,-91.530167,41.661129,1843,8,42,"Moves to Iowa City to work for E. C. Lyon, Esq., although the Cheadles maintain her enslaved status."
Catherine Griffin Clark,"Iowa City, Iowa","Muscatine, Muscatine Co., Iowa",no,-91.530167,41.661129,-91.06984,41.420129,1848,9,41,"Still formally enslaved by the Cheadles, Catherine Clark marries Alexander Clark and moves to his Muscatine home in 1848. Resides in Muscatine until death in 1879."
Catherine Griffin Clark,"Muscatine, Muscatine Co., Iowa","Muscatine, Muscatine Co., Iowa",yes,-91.06984,41.420129,-91.0698,41.42013,1851,10,40,Resides in Muscatine until death in 1879. 
Rebecca Darnes Clark Howard,"Washington, Pennsylvania","Muscatine, Iowa",yes,-80.24617,40.17396,-91.0698,41.42013,1863,11,39,Moves to Muscatine to live with son Alexander Clark.
Rebecca Darnes Clark Howard,"Muscatine, Iowa","Iowa City, Iowa",yes,-91.0698,41.42013,-91.5302,41.66113,1865,12,38,"Moves to Iowa City to live with second husband John Howard, delegate to the 1868 convention in Des Moines. "
Rebecca Darnes Clark Howard,"Iowa City, Iowa","Keokuk, Iowa",yes,-91.5302,41.66113,-91.38999,40.40149,1887,13,37,"Dies at the home of her grandaughter, Susan Clark Holly."
Susan V. Clark Holly,"Muscatine, Iowa","Champaign, Illinois",yes,-91.0698,41.42013,-88.2433,40.1164,1877,14,36,"Moves to Champaign with her husband, Richard Holly, as he fulfills his station on the AME circuit."
