Name,s_city,e_city,free,s_lon,s_lat,e_lon,e_lat,year,s_city_id,e_city_id
Alexander Clark,"Washington, PA","Cincinnati, OH",yes,-80.250556,40.175,-84.516667,39.1,1839,1,49
Alexander Clark,"Cincinnati, OH",Mississippi River,yes,-84.516667,39.1,-90.179304,38.626849,1841,2,48
Alexander Clark,Mississippi River,"Muscatine, IA",yes,-90.179304,38.626849,-91.056111,41.423889,1842,3,47
Alexander Clark,"Muscatine, IA",Chicago,yes,-91.056111,41.423889,-87.627778,41.881944,1884,4,46
Alexander Clark,Chicago,"Monrovia, Liberia",yes,-87.627778,41.881944,-10.801389,6.313333,1890,5,45
Catherine Griffin Clark,"Middlebourne, Tyler County, VA (now WVA)","Windsor, Morgan Co., OH",no,-80.907644,39.494178,-81.7790227,39.5672946,1825,6,44
Catherine Griffin Clark,"Windsor, Morgan Co., OH","Marion, Linn Co., IA",no,-81.7790227,39.5672946,-91.5973995,42.0333325,1842,7,43
Catherine Griffin Clark,"Marion, Linn Co., IA","Iowa City, Iowa",no,-91.5973995,42.0333325,-91.530167,41.661129,1843,8,42
Catherine Griffin Clark,"Iowa City, Iowa","Muscatine, Muscatine Co., Iowa",no,-91.530167,41.661129,-91.06984,41.420129,1848,9,41
Catherine Griffin Clark,"Muscatine, Muscatine Co., Iowa","Muscatine, Muscatine Co., Iowa",no,-91.06984,41.420129,-91.0698,41.42013,1851,10,40
Rebecca Darnes Clark Howard,"Washington, Pennsylvania","Muscatine, Iowa",yes,-80.24617,40.17396,-91.0698,41.42013,1863,11,39
Rebecca Darnes Clark Howard,"Muscatine, Iowa","Iowa City, Iowa",yes,-91.0698,41.42013,-91.5302,41.66113,1865,12,38
Rebecca Darnes Clark Howard,"Iowa City, Iowa","Keokuk, Iowa",yes,-91.5302,41.66113,-91.38999,40.40149,1887,13,37
Susan V. Clark Holly,"Muscatine, Iowa","Champaign, Illinois",yes,-91.0698,41.42013,-88.2433,40.1164,1877,14,36
Susan V. Clark Holly,"Champaign, Illinois","Davenport, Iowa",yes,-88.2433,40.1164,-90.5908,41.543,1880,15,35
Susan V. Clark Holly,"Davenport, Iowa","Keokuk, Iowa",yes,-90.5908,41.543,-91.3899,40.40149,1887,16,34
Susan V. Clark Holly,"Keokuk, Iowa",Cedar Rapids,yes,-91.3899,40.40149,-91.6656,41.9778,1887,17,33
Susan V. Clark Holly,Cedar Rapids,"Waterloo, Iowa",yes,-91.6656,41.9778,-92.34099,42.4888,1901,18,32
Susan V. Clark Holly,"Waterloo, Iowa","Chicago, Illinois",yes,-92.34099,42.4888,-87.6231,41.8818,1925,19,31
Daniel Anderson,"Frederick, Frederick Co., MD","Muscatine, Muscatine Co., IA",no,-77.4255,39.41233,-91.0698,41.42013,1840,20,30
Ellen Anderson nee Mathews,"Frederick, Frederick CO., MD","Frederick, Frederick CO., MD",no,-77.425461,39.412327,-77.4255,39.41233,1812,21,29
Ellen Anderson nee Mathews,"Frederick, Frederick CO., MD","Muscatine, Muscatine Co., IA",yes,-77.4255,39.41233,-91.0698,41.42013,1840,22,28
Boling Bowser,Ohio,"Mt. Pleasant, Henry Co., IA",yes,-82.9071,40.4173,-91.546549,40.9630851,1855,23,27
