Name,start_date,end_date,range_date,location,info,status,description,Lat,Long,sex,biographical
Alexander Clark,1826,1840,1826-1840,"Washington, PA","Born (1826) in Washington, PA to a free mother and formerly enslaved father",f,,40.175,-80.250556,male,"Alexander was born in 1826 in Washington, Pennsylvania to a free mother and formerly enslaved father. He moved to Ohio in 1840 and worked on a river steamboat between 1841-1842 on the Mississippi River before settling in Muscatine in 1842 to work as a barber and entrepreneur. In 1884, Alexander purchased the Chicago Conservator and moved to Chicago to edit the paper until 1890. Alexander then moved to Liberia to serve as the U.S. Minister in 1890 before dying a year later in 1891. Alexander's body was returned to Muscatine for burial.  "
Alexander Clark,1840,1841,1840- ~1841,"Cincinnati, OH","Migrates (1840) to Cincinnati, OH, to apprentice under uncle, a barber, and attend school",f,,39.1,-84.516667,male,"Alexander was born in 1826 in Washington, Pennsylvania to a free mother and formerly enslaved father. He moved to Ohio in 1840 and worked on a river steamboat between 1841-1842 on the Mississippi River before settling in Muscatine in 1842 to work as a barber and entrepreneur. In 1884, Alexander purchased the Chicago Conservator and moved to Chicago to edit the paper until 1890. Alexander then moved to Liberia to serve as the U.S. Minister in 1890 before dying a year later in 1891. Alexander's body was returned to Muscatine for burial."
Alexander Clark,1841,1842,~1841-1842,Mississippi River,Works on river steamboat (~1841-1842),f,,38.626849,-90.179304,male,"Alexander was born in 1826 in Washington, Pennsylvania to a free mother and formerly enslaved father. He moved to Ohio in 1840 and worked on a river steamboat between 1841-1842 on the Mississippi River before settling in Muscatine in 1842 to work as a barber and entrepreneur. In 1884, Alexander purchased the Chicago Conservator and moved to Chicago to edit the paper until 1890. Alexander then moved to Liberia to serve as the U.S. Minister in 1890 before dying a year later in 1891. Alexander's body was returned to Muscatine for burial.  "
Alexander Clark,1842,1884,1842-1884,"Muscatine, IA","Settles in Muscatine (1842), works as a barber and entreneur",f,,41.423889,-91.056111,male,"Alexander was born in 1826 in Washington, Pennsylvania to a free mother and formerly enslaved father. He moved to Ohio in 1840 and worked on a river steamboat between 1841-1842 on the Mississippi River before settling in Muscatine in 1842 to work as a barber and entrepreneur. In 1884, Alexander purchased the Chicago Conservator and moved to Chicago to edit the paper until 1890. Alexander then moved to Liberia to serve as the U.S. Minister in 1890 before dying a year later in 1891. Alexander's body was returned to Muscatine for burial."
Alexander Clark,1884,1890,~1884-1890,Chicago,Purchases Conservator and moves to Chicago to edit the paper (~1884-1890),f,,41.881944,-87.627778,male,"Alexander was born in 1826 in Washington, Pennsylvania to a free mother and formerly enslaved father. He moved to Ohio in 1840 and worked on a river steamboat between 1841-1842 on the Mississippi River before settling in Muscatine in 1842 to work as a barber and entrepreneur. In 1884, Alexander purchased the Chicago Conservator and moved to Chicago to edit the paper until 1890. Alexander then moved to Liberia to serve as the U.S. Minister in 1890 before dying a year later in 1891. Alexander's body was returned to Muscatine for burial."
Alexander Clark,1890,1891,1890-1891,"Monrovia, Liberia",Moves to Liberia as U.S. Minister (1890); dies 1891; body returned to Muscatine for burial.,f,,6.313333,-10.801389,male,"Alexander was born in 1826 in Washington, Pennsylvania to a free mother and formerly enslaved father. He moved to Ohio in 1840 and worked on a river steamboat between 1841-1842 on the Mississippi River before settling in Muscatine in 1842 to work as a barber and entrepreneur. In 1884, Alexander purchased the Chicago Conservator and moved to Chicago to edit the paper until 1890. Alexander then moved to Liberia to serve as the U.S. Minister in 1890 before dying a year later in 1891. Alexander's body was returned to Muscatine for burial."
Catherine Griffin Clark,1822,1825,1822-1825,"Middlebourne, Tyler County, VA (now WVA)","Born (1822) enslaved in Tyler Co., VA; inherited by owner's daughter (Rachel Cheadle, nee Ankrom) and at age 3 taken by her to OH (1825)",s,"on land now know as the Old County Infirmary Farm, Owned by Ankroms, willed to owner's daughter Rachel https://www.mapofus.org/wp-content/uploads/2013/09/WV-county.jpg",39.494178,-80.907644,female,"Catherine was born into slave status in 1822 in Tyler County, VA. She was inherited by will to her enslaver's daughter (Rachel Cheadle). Catherine remained in the Cheadle household between 1825-1843, and migrated with the family (Rachel, Nee Ankrom, and Patrick Cheadle) first to Ohio and then to Marion, Iowa. In 1843, Catherine remained enslaved by the Cheadles but moved to Iowa City to work for the family of family of E. C. Lyon. Catherine met and married Alexander Clark and moved to Muscatine in 1848. However, her freedom remained precarious until the Cheadles signed her manumission papers in 1851. Catherine lived as a free woman with her family in Muscatine until her death in 1879.  "
Catherine Griffin Clark,1825,1842,1825-1842,"Windsor, Morgan Co., OH",Remains in Cheadle household (1825-1842),s,"Rachel Cheadle, nee Ankrom, and Patrick Cheadle's household",39.5672946,-81.7790227,female,"Catherine was born into slave status in 1822 in Tyler County, VA. She was inherited by will to her enslaver's daughter (Rachel Cheadle). Catherine remained in the Cheadle household between 1825-1843, and migrated with the family (Rachel, Nee Ankrom, and Patrick Cheadle) first to Ohio and then to Marion, Iowa. In 1843, Catherine remained enslaved by the Cheadles but moved to Iowa City to work for the family of family of E. C. Lyon. Catherine met and married Alexander Clark and moved to Muscatine in 1848. However, her freedom remained precarious until the Cheadles signed her manumission papers in 1851. Catherine lived as a free woman with her family in Muscatine until her death in 1879.  "
Catherine Griffin Clark,1842,1843,1842-1843,"Marion, Linn Co., IA","Migrates with Cheadles to Marion, IA (1842-1843)",s,Cheadle household,42.0333325,-91.5973995,female,"Catherine was born into slave status in 1822 in Tyler County, VA. She was inherited by will to her enslaver's daughter (Rachel Cheadle). Catherine remained in the Cheadle household between 1825-1843, and migrated with the family (Rachel, Nee Ankrom, and Patrick Cheadle) first to Ohio and then to Marion, Iowa. In 1843, Catherine remained enslaved by the Cheadles but moved to Iowa City to work for the family of family of E. C. Lyon. Catherine met and married Alexander Clark and moved to Muscatine in 1848. However, her freedom remained precarious until the Cheadles signed her manumission papers in 1851. Catherine lived as a free woman with her family in Muscatine until her death in 1879.  "
Catherine Griffin Clark,1843,1848,1843-1848,"Iowa City, Iowa","Moves to Iowa City (1843) where she works for family of E. C. Lyon; meets and marries Alexander Clark (1848); moves to Muscatine, IA",s,"Works for E. C. Lyon, Esq.",41.661129,-91.530167,female,"Catherine was born into slave status in 1822 in Tyler County, VA. She was inherited by will to her enslaver's daughter (Rachel Cheadle). Catherine remained in the Cheadle household between 1825-1843, and migrated with the family (Rachel, Nee Ankrom, and Patrick Cheadle) first to Ohio and then to Marion, Iowa. In 1843, Catherine remained enslaved by the Cheadles but moved to Iowa City to work for the family of family of E. C. Lyon. Catherine met and married Alexander Clark and moved to Muscatine in 1848. However, her freedom remained precarious until the Cheadles signed her manumission papers in 1851. Catherine lived as a free woman with her family in Muscatine until her death in 1879.  "
